"nquest","ncomp","nord","sex","anasc","staciv","ireg","y"
"173","1","1","1","1948","3","18","2"
"375","1","1","2","1925","4","16","1"
"633","1","1","2","1934","4","5","2"
"923","1","1","2","1932","4","13","1"
"1367","2","1","1","1927","1","18","1"
"1367","2","1","1","1927","1","18","1"
"1367","2","2","2","1930","1","18","1"
"1367","2","2","2","1930","1","18","1"
"1763","2","1","1","1947","1","17","1"
"1763","2","1","1","1947","1","17","1"
"1763","2","2","2","1954","1","17","1"
"1763","2","2","2","1954","1","17","1"
"1946","1","1","1","1953","2","5","1"
"2886","3","1","1","1949","1","13","4"
"2886","3","1","1","1949","1","13","3"
"2886","3","2","2","1952","1","13","4"
"2886","3","2","2","1952","1","13","3"
"2886","3","3","1","1977","2","13","4"
"2886","3","3","1","1977","2","13","3"
"5416","5","1","2","1958","3","8","2"
"5416","5","1","2","1958","3","8","1"
"5416","5","1","2","1958","3","8","1"
"5416","5","1","2","1958","3","8","1"
"5416","5","2","2","1979","2","8","2"
"5416","5","2","2","1979","2","8","1"
"5416","5","2","2","1979","2","8","1"
"5416","5","2","2","1979","2","8","1"
"5416","5","3","2","1991","2","8","2"
"5416","5","3","2","1991","2","8","1"
"5416","5","3","2","1991","2","8","1"
"5416","5","3","2","1991","2","8","1"
"5416","5","4","1","1981","2","8","2"
"5416","5","4","1","1981","2","8","1"
"5416","5","4","1","1981","2","8","1"
"5416","5","4","1","1981","2","8","1"
"5416","5","5","2","2011","2","8","2"
"5416","5","5","2","2011","2","8","1"
"5416","5","5","2","2011","2","8","1"
"5416","5","5","2","2011","2","8","1"
"7886","2","1","1","1950","1","9","1"
"7886","2","1","1","1950","1","9","2"
"7886","2","2","2","1953","1","9","1"
"7886","2","2","2","1953","1","9","2"
"11972","2","1","2","1948","1","17","1"
"11972","2","1","2","1948","1","17","2"
"11972","2","2","1","1938","1","17","1"
"11972","2","2","1","1938","1","17","2"
"20297","2","1","1","1960","1","5","2"
"20297","2","1","1","1960","1","5","1"
"20297","2","2","2","1979","1","5","2"
"20297","2","2","2","1979","1","5","1"
"20711","2","1","2","1945","1","4","3"
"20711","2","1","2","1945","1","4","1"
"20711","2","2","1","1944","1","4","3"
"20711","2","2","1","1944","1","4","1"
"20837","2","1","1","1931","1","8","1"
"20837","2","1","1","1931","1","8","5"
"20837","2","2","2","1928","1","8","1"
"20837","2","2","2","1928","1","8","5"
"22099","2","1","1","1958","1","15","2"
"22099","2","2","2","1962","1","15","2"
"22169","2","1","2","1944","1","15","1"
"22169","2","1","2","1944","1","15","1"
"22169","2","2","1","1937","1","15","1"
"22169","2","2","1","1937","1","15","1"
"22173","4","1","1","1938","1","15","1"
"22173","4","1","1","1938","1","15","1"
"22173","4","2","2","1935","1","15","1"
"22173","4","2","2","1935","1","15","1"
"22173","4","3","2","1975","3","15","1"
"22173","4","3","2","1975","3","15","1"
"22173","4","4","2","2011","2","15","1"
"22173","4","4","2","2011","2","15","1"
"22208","1","1","2","1935","4","5","4"
"22276","2","1","1","1949","2","8","1"
"22276","2","1","1","1949","2","8","2"
"22276","2","2","2","1923","4","8","1"
"22276","2","2","2","1923","4","8","2"
"22286","2","1","1","1950","1","8","1"
"22286","2","1","1","1950","1","8","2"
"22286","2","2","2","1956","1","8","1"
"22286","2","2","2","1956","1","8","2"
"22624","4","1","1","1957","1","15","2"
"22624","4","2","2","1961","1","15","2"
"22624","4","3","2","1995","2","15","2"
"22624","4","4","2","1997","2","15","2"
"22657","2","1","2","1951","1","16","1"
"22657","2","1","2","1951","1","16","4"
"22657","2","2","1","1946","1","16","1"
"22657","2","2","1","1946","1","16","4"
"22996","2","1","1","1934","1","1","1"
"22996","2","1","1","1934","1","1","5"
"22996","2","2","2","1942","1","1","1"
"22996","2","2","2","1942","1","1","5"
"23370","2","1","1","1942","1","6","2"
"23370","2","2","2","1942","1","6","2"
"23490","1","1","2","1937","2","5","3"
"23797","2","1","1","1955","1","15","3"
"23797","2","2","2","1958","1","15","3"
"23821","2","1","2","1936","4","16","1"
"23821","2","2","2","1968","2","16","1"
"23823","2","1","2","1937","4","16","1"
"23823","2","1","2","1937","4","16","2"
"23823","2","2","2","1972","2","16","1"
"23823","2","2","2","1972","2","16","2"
"24147","2","1","1","1948","1","4","2"
"24147","2","1","1","1948","1","4","6"
"24147","2","2","2","1958","1","4","2"
"24147","2","2","2","1958","1","4","6"
"24149","1","1","1","1923","4","4","1"
"24194","4","1","1","1952","1","8","2"
"24194","4","1","1","1952","1","8","2"
"24194","4","1","1","1952","1","8","1"
"24194","4","1","1","1952","1","8","4"
"24194","4","2","2","1960","1","8","2"
"24194","4","2","2","1960","1","8","2"
"24194","4","2","2","1960","1","8","1"
"24194","4","2","2","1960","1","8","4"
"24194","4","3","1","1984","2","8","2"
"24194","4","3","1","1984","2","8","2"
"24194","4","3","1","1984","2","8","1"
"24194","4","3","1","1984","2","8","4"
"24194","4","4","2","1990","2","8","2"
"24194","4","4","2","1990","2","8","2"
"24194","4","4","2","1990","2","8","1"
"24194","4","4","2","1990","2","8","4"
"24382","1","1","2","1949","4","13","1"
"24616","2","1","1","1939","1","8","1"
"24616","2","1","1","1939","1","8","2"
"24616","2","2","2","1944","1","8","1"
"24616","2","2","2","1944","1","8","2"
"24760","1","1","2","1920","4","17","2"
"24764","5","1","2","1966","1","17","1"
"24764","5","1","2","1966","1","17","2"
"24764","5","1","2","1966","1","17","1"
"24764","5","2","1","1963","1","17","1"
